customerID,BeginDate,EndDate,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
7590-VHVEG,2020-01-01,No,Month-to-month,Yes,Electronic check,29.85,29.85
5575-GNVDE,2017-04-01,No,One year,No,Mailed check,56.95,1889.5
3668-QPYBK,2019-10-01,2019-12-01 00:00:00,Month-to-month,Yes,Mailed check,53.85,108.15
7795-CFOCW,2016-05-01,No,One year,No,Bank transfer (automatic),42.3,1840.75
9237-HQITU,2019-09-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic check,70.7,151.65
9305-CDSKC,2019-03-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic check,99.65,820.5
1452-KIOVK,2018-04-01,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4
6713-OKOMC,2019-04-01,No,Month-to-month,No,Mailed check,29.75,301.9
7892-POOKP,2017-07-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic check,104.8,3046.05
6388-TABGU,2014-12-01,No,One year,No,Bank transfer (automatic),56.15,3487.95
9763-GRSKD,2019-01-01,No,Month-to-month,Yes,Mailed check,49.95,587.45
7469-LKBCI,2018-10-01,No,Two year,No,Credit card (automatic),18.95,326.8
8091-TTVAX,2015-04-01,No,One year,No,Credit card (automatic),100.35,5681.1
0280-XJGEX,2015-09-01,2019-10-01 00:00:00,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3
5129-JLPIS,2018-01-01,No,Month-to-month,Yes,Electronic check,105.5,2686.05
3655-SNQYZ,2014-05-01,No,Two year,No,Credit card (automatic),113.25,7895.15
8191-XWSZG,2015-10-01,No,One year,No,Mailed check,20.65,1022.95
9959-WOFKT,2014-03-01,No,Two year,No,Bank transfer (automatic),106.7,7382.25
4190-MFLUW,2019-01-01,2019-11-01 00:00:00,Month-to-month,No,Credit card (automatic),55.2,528.35
4183-MYFRB,2018-05-01,No,Month-to-month,Yes,Electronic check,90.05,1862.9
8779-QRDMV,2019-11-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic check,39.65,39.65
1680-VDCWW,2019-02-01,No,One year,No,Bank transfer (automatic),19.8,202.25
1066-JKSGK,2019-11-01,2019-12-01 00:00:00,Month-to-month,No,Mailed check,20.15,20.15
3638-WEABW,2015-04-01,No,Two year,Yes,Credit card (automatic),59.9,3505.1
6322-HRPFA,2016-01-01,No,Month-to-month,No,Credit card (automatic),59.6,2970.3
6865-JZNKO,2017-08-01,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6
6467-CHFZW,2015-12-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic check,99.35,4749.15
8665-UTDHZ,2019-11-01,2019-12-01 00:00:00,Month-to-month,No,Electronic check,30.2,30.2
5248-YGIJN,2014-02-01,No,Two year,Yes,Credit card (automatic),90.25,6369.45
8773-HHUOZ,2018-06-01,2019-11-01 00:00:00,Month-to-month,Yes,Mailed check,64.7,1093.1
3841-NFECX,2014-03-01,No,Two year,Yes,Credit card (automatic),96.35,6766.95
4929-XIHVW,2019-12-01,No,Month-to-month,Yes,Credit card (automatic),95.5,181.65
6827-IEAUQ,2017-11-01,No,One year,No,Mailed check,66.15,1874.45
7310-EGVHZ,2020-01-01,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2
3413-BMNZE,2020-01-01,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25
6234-RAAPL,2014-02-01,No,Two year,No,Bank transfer (automatic),99.9,7251.7
6047-YHPVI,2019-06-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic check,69.7,316.9
6572-ADKRS,2016-04-01,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3
5380-WJKOV,2017-02-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic check,106.35,3549.25
8168-UQWWF,2018-12-01,2019-11-01 00:00:00,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4
8865-TNMNX,2019-04-01,No,One year,No,Mailed check,49.55,475.7
9489-DEDVP,2014-04-01,No,Two year,Yes,Credit card (automatic),69.2,4872.35
9867-JCZSP,2018-09-01,No,One year,No,Mailed check,20.75,418.25
4671-VJLCL,2014-11-01,No,Two year,Yes,Credit card (automatic),79.85,4861.45
4080-IIARD,2019-01-01,No,Month-to-month,Yes,Electronic check,76.2,981.45
3714-NTNFO,2016-01-01,No,Month-to-month,Yes,Electronic check,84.5,3906.7
5948-UJZLF,2019-12-01,No,Month-to-month,No,Mailed check,49.25,97
7760-OYPDY,2019-11-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic check,80.65,144.15
7639-LIAYI,2015-10-01,No,Two year,Yes,Credit card (automatic),79.75,4217.8
2954-PIBKO,2014-05-01,No,Two year,Yes,Credit card (automatic),64.15,4254.1
8012-SOUDQ,2016-07-01,No,Month-to-month,Yes,Electronic check,90.25,3838.75
9420-LOJKX,2018-09-01,2019-12-01 00:00:00,Month-to-month,Yes,Credit card (automatic),99.1,1426.4
6575-SUVOI,2018-01-01,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65
7495-OOKFY,2019-03-01,2019-11-01 00:00:00,Month-to-month,Yes,Credit card (automatic),80.65,633.3
4667-QONEA,2015-02-01,No,One year,Yes,Credit card (automatic),74.85,4456.35
1658-BYGOY,2018-07-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic check,95.45,1752.55
8769-KKTPH,2014-11-01,No,One year,Yes,Credit card (automatic),99.65,6311.2
5067-XJQFU,2014-08-01,No,One year,Yes,Electronic check,108.45,7076.35
3957-SQXML,2017-04-01,No,Two year,No,Credit card (automatic),24.95,894.3
5954-BDFSG,2014-02-01,No,Two year,Yes,Credit card (automatic),107.5,7853.7
0434-CSFON,2016-03-01,No,Month-to-month,Yes,Electronic check,100.5,4707.1
1215-FIGMP,2015-02-01,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7
0526-SXDJP,2014-02-01,No,Two year,No,Bank transfer (automatic),42.1,2962
0557-ASKVU,2018-08-01,No,One year,Yes,Credit card (automatic),54.4,957.1
5698-BQJOH,2019-04-01,2020-01-01 00:00:00,Month-to-month,No,Electronic check,94.4,857.25
5122-CYFXA,2019-11-01,No,Month-to-month,Yes,Electronic check,75.3,244.1
8627-ZYGSZ,2016-03-01,No,One year,Yes,Electronic check,78.9,3650.35
3410-YOQBQ,2017-07-01,No,Two year,No,Mailed check,79.2,2497.2
3170-NMYVV,2015-12-01,No,Two year,No,Bank transfer (automatic),20.15,930.9
7410-OIEDU,2019-04-01,No,Month-to-month,Yes,Mailed check,79.85,887.35
2273-QCKXA,2020-01-01,No,Month-to-month,No,Mailed check,49.05,49.05
0731-EBJQB,2015-10-01,No,One year,Yes,Electronic check,20.4,1090.65
1891-QRQSA,2014-10-01,No,Two year,Yes,Bank transfer (automatic),111.6,7099
8028-PNXHQ,2014-12-01,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6
5630-AHZIL,2019-11-01,No,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4
2673-CXQEU,2015-06-01,No,One year,No,Electronic check,110.5,6139.5
6416-JNVRK,2016-04-01,No,One year,No,Credit card (automatic),55.65,2688.85
5590-ZSKRV,2019-06-01,No,Month-to-month,No,Mailed check,54.65,482.25
0191-ZHSKZ,2017-08-01,No,Month-to-month,Yes,Electronic check,74.75,2111.3
3887-PBQAO,2016-05-01,No,One year,Yes,Credit card (automatic),25.9,1216.6
5919-TMRGD,2019-11-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic check,79.35,79.35
8108-UXRQN,2019-03-01,No,Month-to-month,No,Electronic check,50.55,565.35
9191-MYQKX,2019-03-01,2019-10-01 00:00:00,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9
9919-YLNNG,2016-08-01,No,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5
0318-ZOPWS,2016-01-01,No,Two year,Yes,Bank transfer (automatic),20.15,973.35
4445-ZJNMU,2019-05-01,No,Month-to-month,Yes,Credit card (automatic),99.3,918.75
4808-YNLEU,2017-03-01,No,One year,Yes,Bank transfer (automatic),62.15,2215.45
1862-QRWPE,2016-02-01,No,Two year,No,Bank transfer (automatic),20.65,1057
2796-NNUFI,2016-04-01,No,Two year,Yes,Mailed check,19.95,927.1
3016-KSVCP,2017-09-01,No,Month-to-month,No,Mailed check,33.75,1009.25
4767-HZZHQ,2017-08-01,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2
2424-WVHPL,2020-01-01,No,Month-to-month,No,Electronic check,74.7,74.7
7233-PAHHL,2014-08-01,No,Two year,Yes,Mailed check,84.0,5714.25
6067-NGCEU,2014-09-01,No,Month-to-month,Yes,Credit card (automatic),111.05,7107
9848-JQJTX,2014-02-01,No,Two year,Yes,Bank transfer (automatic),100.9,7459.05
8637-XJIVR,2018-12-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic check,78.95,927.35
9803-FTJCG,2014-03-01,No,One year,Yes,Credit card (automatic),66.85,4748.7
0278-YXOOG,2019-06-01,2019-11-01 00:00:00,Month-to-month,No,Mailed check,21.05,113.85
3212-KXOCR,2015-10-01,No,Two year,No,Bank transfer (automatic),21.0,1107.2
4598-XLKNJ,2017-12-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic check,98.5,2514.5
6380-ARCEH,2020-01-01,No,Month-to-month,No,Mailed check,20.2,20.2
3679-XASPY,2020-01-01,No,Month-to-month,No,Electronic check,19.45,19.45
7123-WQUHX,2016-12-01,No,One year,No,Bank transfer (automatic),95.0,3605.6
5386-THSLQ,2014-08-01,No,One year,No,Bank transfer (automatic),45.55,3027.25
3192-NQECA,2014-03-01,2019-11-01 00:00:00,Two year,Yes,Bank transfer (automatic),110.0,7611.85
6180-YBIQI,2019-09-01,No,Month-to-month,No,Mailed check,24.3,100.2
6728-DKUCO,2014-02-01,No,One year,Yes,Electronic check,104.15,7303.05
9750-BOOHV,2017-06-01,No,One year,No,Mailed check,30.15,927.65
8597-CWYHH,2016-07-01,No,One year,No,Mailed check,94.35,3921.3
2848-YXSMW,2014-02-01,No,Two year,No,Credit card (automatic),19.4,1363.25
0486-HECZI,2015-05-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic check,96.75,5238.9
4549-ZDQYY,2015-10-01,No,One year,No,Credit card (automatic),57.95,3042.25
5712-AHQNN,2016-07-01,No,Month-to-month,Yes,Electronic check,91.65,3954.1
4846-WHAFZ,2016-10-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic check,76.5,2868.15
5256-SKJGO,2014-10-01,No,Two year,Yes,Electronic check,54.6,3423.5
3071-VBYPO,2019-11-01,No,Month-to-month,No,Electronic check,89.85,248.4
9560-BBZXK,2017-02-01,No,Two year,No,Bank transfer (automatic),31.05,1126.35
5299-RULOA,2019-02-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic check,100.25,1064.65
8402-OOOHJ,2016-09-01,No,Two year,No,Mailed check,20.65,835.15
9445-ZUEQE,2017-11-01,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6
1091-SOZGA,2015-06-01,No,One year,Yes,Credit card (automatic),99.8,5515.45
2928-HLDBA,2019-08-01,No,Month-to-month,No,Mailed check,20.7,112.75
0404-SWRVG,2019-09-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic check,74.4,229.55
6497-TILVL,2019-07-01,No,Month-to-month,No,Mailed check,50.7,350.35
7219-TLZHO,2019-10-01,No,Month-to-month,No,Mailed check,20.85,62.9
4622-YNKIJ,2017-05-01,No,Two year,Yes,Electronic check,88.95,3027.65
4412-YLTKF,2017-10-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic check,78.05,2135.5
6734-PSBAW,2014-02-01,No,Two year,Yes,Bank transfer (automatic),23.55,1723.95
3930-ZGWVE,2020-01-01,No,Month-to-month,No,Mailed check,19.75,19.75
2639-UGMAZ,2014-03-01,No,One year,Yes,Electronic check,56.45,3985.35
2876-GZYZC,2019-01-01,No,Month-to-month,Yes,Electronic check,85.95,1215.65
6207-WIOLX,2017-12-01,2020-01-01 00:00:00,Month-to-month,Yes,Credit card (automatic),58.6,1502.65
8587-XYZSF,2014-07-01,No,Two year,No,Bank transfer (automatic),50.55,3260.1
3091-FYHKI,2019-12-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic check,35.45,35.45
2372-HWUHI,2019-11-01,2020-01-01 00:00:00,Month-to-month,No,Electronic check,44.35,81.25
7799-LGRDP,2016-07-01,No,Two year,Yes,Credit card (automatic),25.7,1188.2
7850-VWJUU,2018-03-01,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5
3774-VBNXY,2014-10-01,No,Two year,No,Mailed check,20.2,1277.75
6217-KDYWC,2015-05-01,No,Two year,Yes,Mailed check,19.6,1170.55
