customerID,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
7590-VHVEG,DSL,No,Yes,No,No,No,No
5575-GNVDE,DSL,Yes,No,Yes,No,No,No
3668-QPYBK,DSL,Yes,Yes,No,No,No,No
7795-CFOCW,DSL,Yes,No,Yes,Yes,No,No
9237-HQITU,Fiber optic,No,No,No,No,No,No
9305-CDSKC,Fiber optic,No,No,Yes,No,Yes,Yes
1452-KIOVK,Fiber optic,No,Yes,No,No,Yes,No
6713-OKOMC,DSL,Yes,No,No,No,No,No
7892-POOKP,Fiber optic,No,No,Yes,Yes,Yes,Yes
6388-TABGU,DSL,Yes,Yes,No,No,No,No
9763-GRSKD,DSL,Yes,No,No,No,No,No
8091-TTVAX,Fiber optic,No,No,Yes,No,Yes,Yes
0280-XJGEX,Fiber optic,No,Yes,Yes,No,Yes,Yes
5129-JLPIS,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
3655-SNQYZ,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
9959-WOFKT,Fiber optic,Yes,No,Yes,No,Yes,Yes
4190-MFLUW,DSL,No,No,Yes,Yes,No,No
4183-MYFRB,Fiber optic,No,Yes,Yes,No,No,Yes
8779-QRDMV,DSL,No,No,Yes,No,No,Yes
3638-WEABW,DSL,No,Yes,No,Yes,No,No
6322-HRPFA,DSL,Yes,Yes,No,Yes,No,No
6865-JZNKO,DSL,Yes,Yes,No,No,No,No
6467-CHFZW,Fiber optic,No,Yes,No,No,Yes,Yes
8665-UTDHZ,DSL,No,Yes,No,No,No,No
5248-YGIJN,DSL,Yes,Yes,Yes,Yes,Yes,Yes
8773-HHUOZ,DSL,No,No,No,No,Yes,Yes
3841-NFECX,Fiber optic,Yes,Yes,Yes,Yes,No,No
4929-XIHVW,Fiber optic,No,No,Yes,No,Yes,Yes
6827-IEAUQ,DSL,Yes,Yes,Yes,Yes,No,No
3413-BMNZE,DSL,No,No,No,No,No,No
6234-RAAPL,Fiber optic,Yes,Yes,No,Yes,Yes,No
6047-YHPVI,Fiber optic,No,No,No,No,No,No
6572-ADKRS,Fiber optic,No,No,Yes,No,No,No
5380-WJKOV,Fiber optic,No,Yes,Yes,No,Yes,Yes
8168-UQWWF,Fiber optic,No,No,Yes,No,Yes,Yes
8865-TNMNX,DSL,No,Yes,No,No,No,No
9489-DEDVP,DSL,Yes,Yes,No,No,Yes,No
4671-VJLCL,DSL,Yes,Yes,Yes,Yes,Yes,No
4080-IIARD,DSL,Yes,Yes,No,Yes,Yes,No
3714-NTNFO,Fiber optic,No,No,No,No,No,Yes
5948-UJZLF,DSL,No,Yes,No,No,No,No
7760-OYPDY,Fiber optic,No,No,No,No,Yes,No
7639-LIAYI,DSL,Yes,No,No,Yes,Yes,Yes
2954-PIBKO,DSL,Yes,No,Yes,Yes,No,No
8012-SOUDQ,Fiber optic,No,Yes,No,No,Yes,No
9420-LOJKX,Fiber optic,Yes,Yes,No,No,Yes,Yes
6575-SUVOI,DSL,Yes,No,No,Yes,Yes,No
7495-OOKFY,Fiber optic,No,Yes,No,No,No,No
4667-QONEA,DSL,Yes,Yes,Yes,Yes,No,Yes
1658-BYGOY,Fiber optic,No,No,No,No,Yes,Yes
8769-KKTPH,Fiber optic,Yes,No,No,No,Yes,Yes
5067-XJQFU,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
5954-BDFSG,Fiber optic,No,No,Yes,Yes,Yes,Yes
0434-CSFON,Fiber optic,No,No,Yes,No,Yes,Yes
1215-FIGMP,Fiber optic,No,Yes,No,No,Yes,No
0526-SXDJP,DSL,Yes,Yes,Yes,No,No,No
0557-ASKVU,DSL,No,No,Yes,Yes,No,No
5698-BQJOH,Fiber optic,No,No,No,No,Yes,Yes
5122-CYFXA,DSL,No,Yes,No,Yes,Yes,Yes
8627-ZYGSZ,Fiber optic,No,Yes,No,No,No,No
3410-YOQBQ,DSL,No,Yes,Yes,Yes,Yes,Yes
7410-OIEDU,Fiber optic,Yes,No,Yes,No,No,No
2273-QCKXA,DSL,No,No,No,Yes,No,No
1891-QRQSA,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
5630-AHZIL,DSL,Yes,No,No,Yes,No,Yes
2673-CXQEU,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
6416-JNVRK,DSL,No,No,No,No,No,Yes
5590-ZSKRV,DSL,Yes,Yes,No,No,No,No
0191-ZHSKZ,DSL,Yes,Yes,No,No,Yes,Yes
5919-TMRGD,Fiber optic,No,No,No,No,Yes,No
8108-UXRQN,DSL,Yes,No,No,No,Yes,Yes
9191-MYQKX,Fiber optic,No,No,Yes,No,No,No
9919-YLNNG,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
4445-ZJNMU,Fiber optic,No,Yes,No,No,Yes,Yes
4808-YNLEU,DSL,Yes,No,No,No,Yes,No
3016-KSVCP,DSL,No,No,No,No,Yes,No
4767-HZZHQ,Fiber optic,No,Yes,Yes,No,No,No
2424-WVHPL,Fiber optic,No,No,No,Yes,No,No
7233-PAHHL,DSL,Yes,No,Yes,Yes,Yes,Yes
6067-NGCEU,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9848-JQJTX,Fiber optic,No,Yes,Yes,No,Yes,Yes
8637-XJIVR,Fiber optic,Yes,No,No,No,No,No
9803-FTJCG,DSL,Yes,Yes,No,Yes,No,No
4598-XLKNJ,Fiber optic,No,Yes,Yes,No,Yes,Yes
7123-WQUHX,Fiber optic,No,No,Yes,Yes,Yes,No
5386-THSLQ,DSL,No,Yes,Yes,No,Yes,No
3192-NQECA,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
6180-YBIQI,DSL,No,No,No,No,No,No
6728-DKUCO,Fiber optic,Yes,Yes,No,No,Yes,Yes
9750-BOOHV,DSL,Yes,No,No,No,No,No
8597-CWYHH,Fiber optic,No,No,No,No,Yes,Yes
0486-HECZI,Fiber optic,Yes,Yes,No,No,Yes,No
4549-ZDQYY,DSL,Yes,No,Yes,Yes,No,No
5712-AHQNN,Fiber optic,No,Yes,Yes,No,Yes,No
4846-WHAFZ,Fiber optic,No,No,No,No,No,No
5256-SKJGO,DSL,No,Yes,No,Yes,Yes,Yes
3071-VBYPO,Fiber optic,Yes,Yes,No,No,Yes,No
9560-BBZXK,DSL,Yes,No,No,No,No,No
5299-RULOA,Fiber optic,Yes,No,No,No,Yes,Yes
9445-ZUEQE,Fiber optic,No,Yes,No,Yes,No,No
1091-SOZGA,Fiber optic,No,No,Yes,No,Yes,Yes
0404-SWRVG,Fiber optic,No,No,No,No,No,No
6497-TILVL,DSL,Yes,No,No,No,No,No
4622-YNKIJ,Fiber optic,Yes,No,No,Yes,Yes,No
4412-YLTKF,Fiber optic,No,No,Yes,No,No,No
2639-UGMAZ,DSL,Yes,Yes,No,No,Yes,Yes
2876-GZYZC,Fiber optic,No,No,No,No,No,Yes
6207-WIOLX,DSL,Yes,Yes,Yes,No,Yes,Yes
8587-XYZSF,DSL,No,No,No,Yes,No,No
3091-FYHKI,DSL,No,No,No,No,No,Yes
2372-HWUHI,DSL,No,No,No,No,No,No
7850-VWJUU,Fiber optic,Yes,No,No,No,No,No
0390-DCFDQ,Fiber optic,No,No,No,No,No,No
3146-MSEGF,DSL,Yes,Yes,Yes,Yes,Yes,Yes
4080-OGPJL,DSL,Yes,No,No,Yes,No,Yes
1095-WGNGG,Fiber optic,No,Yes,No,No,Yes,Yes
2636-SJDOU,Fiber optic,Yes,Yes,No,No,No,No
5716-EZXZN,Fiber optic,Yes,Yes,No,Yes,Yes,No
2135-RXIHG,DSL,No,No,No,No,No,No
6440-DKQGE,DSL,No,Yes,Yes,No,Yes,No
3466-BYAVD,DSL,No,Yes,Yes,Yes,No,Yes
3780-YVMFA,DSL,No,No,No,Yes,Yes,Yes
3874-EQOEP,Fiber optic,No,No,No,No,Yes,Yes
1679-JRFBR,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9073-ZZIAY,DSL,Yes,Yes,Yes,Yes,Yes,Yes
6551-GNYDG,Fiber optic,No,No,No,No,No,Yes
9167-APMXZ,Fiber optic,No,No,No,No,Yes,No
6371-NZYEG,DSL,Yes,No,Yes,No,Yes,No
8992-VONJD,DSL,Yes,Yes,No,No,No,No
0867-MKZVY,Fiber optic,Yes,No,No,No,No,No
4482-EWFMI,Fiber optic,No,No,No,No,No,No
4648-YPBTM,DSL,No,Yes,Yes,Yes,No,Yes
3376-BMGFE,Fiber optic,No,No,No,No,No,No
5997-OPVFA,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3445-HXXGF,DSL,No,Yes,Yes,No,No,Yes
7654-YWJUF,Fiber optic,Yes,No,Yes,Yes,No,No
1875-QIVME,Fiber optic,No,No,Yes,Yes,Yes,Yes
6727-IOTLZ,DSL,No,Yes,Yes,Yes,Yes,Yes
0691-JVSYA,Fiber optic,No,No,Yes,No,Yes,Yes
2656-FMOKZ,Fiber optic,No,No,No,No,No,No
2070-FNEXE,Fiber optic,Yes,No,No,No,No,No
5947-SGKCL,Fiber optic,No,Yes,Yes,No,Yes,Yes
6317-YPKDH,DSL,No,Yes,No,No,No,No
6582-OIVSP,DSL,No,No,No,No,No,No
9367-WXLCH,Fiber optic,No,No,No,No,No,Yes
5524-KHNJP,DSL,Yes,No,Yes,No,Yes,Yes
1918-ZBFQJ,Fiber optic,No,Yes,Yes,No,No,No
1024-GUALD,DSL,No,No,No,No,No,No
4827-USJHP,DSL,No,Yes,No,No,No,No
8167-GJLRN,DSL,No,No,No,Yes,No,No
8017-UVSZU,DSL,No,Yes,No,No,No,No
7100-FQPRV,DSL,Yes,No,No,Yes,No,Yes
2472-OVKUP,Fiber optic,No,Yes,Yes,No,No,Yes
9680-NIAUV,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
2604-IJPDU,Fiber optic,Yes,Yes,No,Yes,Yes,No
6168-YBYNP,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7255-SSFBC,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
9323-HGFWY,Fiber optic,Yes,No,No,Yes,Yes,Yes
8544-GOQSH,Fiber optic,No,Yes,No,Yes,No,No
3363-DTIVD,Fiber optic,Yes,No,Yes,No,Yes,Yes
7018-WBJNK,Fiber optic,No,No,No,No,Yes,No
9142-KZXOP,Fiber optic,No,No,No,No,No,No
7674-YTAFD,Fiber optic,No,Yes,No,Yes,No,No
6348-SNFUS,DSL,Yes,Yes,Yes,Yes,No,Yes
1285-OKIPP,Fiber optic,No,No,No,No,No,Yes
7825-ECJRF,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1347-KTTTA,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7841-TZDMQ,DSL,No,No,No,No,No,No
4195-NZGTA,DSL,No,No,No,No,No,No
2504-DSHIH,Fiber optic,No,No,No,No,No,Yes
0699-NDKJM,DSL,Yes,Yes,Yes,No,Yes,Yes
