customerID,MultipleLines
5575-GNVDE,No
3668-QPYBK,No
9237-HQITU,No
9305-CDSKC,Yes
1452-KIOVK,Yes
7892-POOKP,Yes
6388-TABGU,No
9763-GRSKD,No
7469-LKBCI,No
8091-TTVAX,Yes
0280-XJGEX,Yes
5129-JLPIS,No
3655-SNQYZ,Yes
8191-XWSZG,No
9959-WOFKT,Yes
4190-MFLUW,No
4183-MYFRB,No
1680-VDCWW,No
1066-JKSGK,No
3638-WEABW,Yes
6322-HRPFA,No
6865-JZNKO,No
6467-CHFZW,Yes
5248-YGIJN,Yes
8773-HHUOZ,No
3841-NFECX,Yes
4929-XIHVW,No
6827-IEAUQ,No
7310-EGVHZ,No
3413-BMNZE,No
6234-RAAPL,Yes
6047-YHPVI,No
6572-ADKRS,No
5380-WJKOV,Yes
8168-UQWWF,Yes
8865-TNMNX,No
9489-DEDVP,Yes
9867-JCZSP,No
4671-VJLCL,Yes
4080-IIARD,Yes
3714-NTNFO,Yes
5948-UJZLF,No
7760-OYPDY,No
7639-LIAYI,Yes
2954-PIBKO,Yes
8012-SOUDQ,Yes
9420-LOJKX,No
6575-SUVOI,Yes
7495-OOKFY,Yes
4667-QONEA,No
1658-BYGOY,Yes
8769-KKTPH,Yes
5067-XJQFU,Yes
3957-SQXML,Yes
5954-BDFSG,Yes
0434-CSFON,Yes
1215-FIGMP,Yes
0557-ASKVU,No
5698-BQJOH,Yes
5122-CYFXA,No
8627-ZYGSZ,Yes
3410-YOQBQ,No
3170-NMYVV,No
7410-OIEDU,No
2273-QCKXA,No
0731-EBJQB,No
1891-QRQSA,Yes
8028-PNXHQ,Yes
5630-AHZIL,No
2673-CXQEU,Yes
6416-JNVRK,No
5590-ZSKRV,No
0191-ZHSKZ,No
3887-PBQAO,Yes
5919-TMRGD,No
9191-MYQKX,No
9919-YLNNG,No
0318-ZOPWS,No
4445-ZJNMU,Yes
4808-YNLEU,No
1862-QRWPE,No
2796-NNUFI,No
4767-HZZHQ,No
2424-WVHPL,No
7233-PAHHL,Yes
6067-NGCEU,Yes
9848-JQJTX,Yes
8637-XJIVR,Yes
9803-FTJCG,Yes
0278-YXOOG,No
3212-KXOCR,No
4598-XLKNJ,No
6380-ARCEH,No
3679-XASPY,No
7123-WQUHX,Yes
3192-NQECA,Yes
6728-DKUCO,Yes
8597-CWYHH,Yes
2848-YXSMW,No
0486-HECZI,Yes
4549-ZDQYY,No
5712-AHQNN,No
4846-WHAFZ,Yes
3071-VBYPO,No
5299-RULOA,Yes
8402-OOOHJ,No
9445-ZUEQE,Yes
1091-SOZGA,Yes
2928-HLDBA,No
0404-SWRVG,Yes
6497-TILVL,No
7219-TLZHO,No
4622-YNKIJ,No
4412-YLTKF,Yes
6734-PSBAW,Yes
3930-ZGWVE,No
2876-GZYZC,Yes
8587-XYZSF,No
2372-HWUHI,No
7799-LGRDP,Yes
7850-VWJUU,No
3774-VBNXY,No
6217-KDYWC,No
0390-DCFDQ,No
3146-MSEGF,Yes
4080-OGPJL,Yes
1095-WGNGG,Yes
2636-SJDOU,Yes
1131-QQZEB,Yes
5716-EZXZN,Yes
6837-BJYDQ,No
2135-RXIHG,No
6440-DKQGE,No
3466-BYAVD,No
3780-YVMFA,No
3874-EQOEP,Yes
1679-JRFBR,Yes
9073-ZZIAY,No
3077-RSNTJ,No
6551-GNYDG,No
9167-APMXZ,Yes
2749-CTKAJ,No
6371-NZYEG,No
7554-NEWDD,Yes
8992-VONJD,No
0867-MKZVY,Yes
4482-EWFMI,No
4648-YPBTM,Yes
2907-ILJBN,No
6345-FZOQH,No
3376-BMGFE,No
5997-OPVFA,Yes
1159-WFSGR,No
7654-YWJUF,No
1875-QIVME,Yes
6727-IOTLZ,No
0691-JVSYA,No
5918-VUKWP,No
1744-JHKYS,Yes
2656-FMOKZ,Yes
2070-FNEXE,No
5947-SGKCL,Yes
3712-PKXZA,No
6582-OIVSP,No
9367-WXLCH,Yes
5524-KHNJP,No
1918-ZBFQJ,No
4827-USJHP,No
0956-SYCWG,No
8017-UVSZU,Yes
7100-FQPRV,Yes
2472-OVKUP,No
2984-RGEYA,No
9680-NIAUV,Yes
2146-EGVDT,No
2604-IJPDU,No
9178-JHUVJ,Yes
6168-YBYNP,Yes
7255-SSFBC,Yes
3645-DEYGF,No
9323-HGFWY,No
8544-GOQSH,No
3363-DTIVD,Yes
7018-WBJNK,No
9142-KZXOP,No
7674-YTAFD,No
1285-OKIPP,No
7825-ECJRF,No
1347-KTTTA,No
7841-TZDMQ,No
7157-SMCFK,No
4709-LKHYG,No
2504-DSHIH,Yes
2040-LDIWQ,Yes
6496-JDSSB,No
9408-SSNVZ,No
4443-EMBNA,Yes
6469-MRVET,No
0742-MOABM,No
5961-VUSRV,No
6341-JVQGF,No
2232-DMLXU,No
4811-JBUVU,Yes
0945-TSONX,Yes
2651-ZCBXV,Yes
3316-UWXUY,No
8937-RDTHP,No
7083-MIOPC,No
1984-GPTEH,Yes
1251-KRREG,Yes
9903-LYSAB,Yes
0094-OIFMO,No
9227-UAQFT,No
7301-ABVAD,Yes
6614-FHDBO,Yes
7576-ASEJU,No
9058-HRZSV,No
4522-AKYLR,No
0221-WMXNQ,No
0303-UNCIP,Yes
9947-OTFQU,No
0322-YINQP,No
0959-WHOKV,Yes
4075-JFPGR,No
4629-NRXKX,No
3282-ZISZV,Yes
3675-YDUPJ,No
7017-VFHAY,Yes
6655-LHBYW,Yes
4959-JOSRX,No
3606-TWKGI,Yes
7529-ZDFXI,Yes
1950-KSVVJ,Yes
0123-CRBRT,Yes
6292-TOSSS,Yes
3197-ARFOY,No
6323-AYBRX,No
7014-ZZXAW,Yes
4385-GZQXV,No
7633-MVPUY,No
4716-HHKQH,Yes
5940-AHUHD,No
6432-TWQLB,Yes
4484-GLZOU,Yes
3179-GBRWV,No
4130-MZLCC,No
0314-TKOSI,No
